student,exam
2025310001,FMAT
2025310001,DSA1
2025310001,DSYS
2025310001,ITE
2025310001,ENG1
2025310001,CTCS
2025310001,OOP
2025310001,LINUX
2025310001,LINALG
2025310001,MANAL1
2025310001,STAT
2025310001,ENG2
2025310001,HOA1
2025310001,CITZ
2025310002,FMAT
2025310002,DSA1
2025310002,DSYS
2025310002,ITE
2025310002,ENG1
2025310002,CTCS
2025310002,OOP
2025310002,LINUX
2025310002,LINALG
2025310002,MANAL1
2025310002,STAT
2025310002,ENG2
2025310002,HOA1
2025310002,CITZ
2025310003,FMAT
2025310003,DSA1
2025310003,DSYS
2025310003,ITE
2025310003,ENG1
2025310003,CTCS
2025310003,OOP
2025310003,LINUX
2025310003,LINALG
2025310003,MANAL1
2025310003,STAT
2025310003,ENG2
2025310003,HOA1
2025310003,CITZ
2025310004,FMAT
2025310004,DSA1
2025310004,DSYS
2025310004,ITE
2025310004,ENG1
2025310004,CTCS
2025310004,OOP
2025310004,LINUX
2025310004,LINALG
2025310004,MANAL1
2025310004,STAT
2025310004,ENG2
2025310004,HOA1
2025310004,CITZ
2025310005,FMAT
2025310005,DSA1
2025310005,DSYS
2025310005,ITE
2025310005,ENG1
2025310005,CTCS
2025310005,OOP
2025310005,LINUX
2025310005,LINALG
2025310005,MANAL1
2025310005,STAT
2025310005,ENG2
2025310005,HOA1
2025310005,CITZ
2025310006,FMAT
2025310006,DSA1
2025310006,DSYS
2025310006,ITE
2025310006,ENG1
2025310006,CTCS
2025310006,OOP
2025310006,LINUX
2025310006,LINALG
2025310006,MANAL1
2025310006,STAT
2025310006,ENG2
2025310006,HOA1
2025310006,CITZ
2025310007,FMAT
2025310007,DSA1
2025310007,DSYS
2025310007,ITE
2025310007,ENG1
2025310007,CTCS
2025310007,OOP
2025310007,LINUX
2025310007,LINALG
2025310007,MANAL1
2025310007,STAT
2025310007,ENG2
2025310007,HOA1
2025310007,CITZ
2025310008,FMAT
2025310008,DSA1
2025310008,DSYS
2025310008,ITE
2025310008,ENG1
2025310008,CTCS
2025310008,OOP
2025310008,LINUX
2025310008,LINALG
2025310008,MANAL1
2025310008,STAT
2025310008,ENG2
2025310008,HOA1
2025310008,CITZ
2025310009,FMAT
2025310009,DSA1
2025310009,DSYS
2025310009,ITE
2025310009,ENG1
2025310009,CTCS
2025310009,OOP
2025310009,LINUX
2025310009,LINALG
2025310009,MANAL1
2025310009,STAT
2025310009,ENG2
2025310009,HOA1
2025310009,CITZ
2025310010,FMAT
2025310010,DSA1
2025310010,DSYS
2025310010,ITE
2025310010,ENG1
2025310010,CTCS
2025310010,OOP
2025310010,LINUX
2025310010,LINALG
2025310010,MANAL1
2025310010,STAT
2025310010,ENG2
2025310010,HOA1
2025310010,CITZ
2025310011,FMAT
2025310011,DSA1
2025310011,DSYS
2025310011,ITE
2025310011,ENG1
2025310011,CTCS
2025310011,OOP
2025310011,LINUX
2025310011,LINALG
2025310011,MANAL1
2025310011,STAT
2025310011,ENG2
2025310011,HOA1
2025310011,CITZ
2025310012,FMAT
2025310012,DSA1
2025310012,DSYS
2025310012,ITE
2025310012,ENG1
2025310012,CTCS
2025310012,OOP
2025310012,LINUX
2025310012,LINALG
2025310012,MANAL1
2025310012,STAT
2025310012,ENG2
2025310012,HOA1
2025310012,CITZ
2025310013,FMAT
2025310013,DSA1
2025310013,DSYS
2025310013,ITE
2025310013,ENG1
2025310013,CTCS
2025310013,OOP
2025310013,LINUX
2025310013,LINALG
2025310013,MANAL1
2025310013,STAT
2025310013,ENG2
2025310013,HOA1
2025310013,CITZ
2025310014,FMAT
2025310014,DSA1
2025310014,DSYS
2025310014,ITE
2025310014,ENG1
2025310014,CTCS
2025310014,OOP
2025310014,LINUX
2025310014,LINALG
2025310014,MANAL1
2025310014,STAT
2025310014,ENG2
2025310014,HOA1
2025310014,CITZ
2025310015,FMAT
2025310015,DSA1
2025310015,DSYS
2025310015,ITE
