code,name,duration
FMAT,Foundational Mathematics,120
DSA1,Data Structures and Algorithms 1,120
DSYS,Digital Systems,90
ITE,Information Technology Essentials,90
ENG1,English 1,90
CTCS,Critical Thinking and Creativity Skills,60
OOP,Object Oriented Programming,120
LINUX,Introduction to Linux,90
LINALG,Linear Algebra,120
MANAL1,Mathematical Analysis 1,120
STAT,Introduction to Statistics,90
ENG2,English 2,90
HOA1,History of Algeria 1,60
CITZ,Citizenship,60
DSA2,Data Structures and Algorithms 2,120
MLOGIC,Mathematical Logic,120
MANAL2,Mathematical Analysis 2,120
DB,Databases,120
PROBA,Probability,120
WEB,Web Development,90
BUS,Introduction to Business,60
TOC,Theory of Computing,120
OS,Operating Systems,120
ARCH,Computer Architecture,120
SINF,Statistical Inference,120
INTAI,Introduction to AI,120
MANAL3,Mathematical Analysis 3,120
CIRC,Electronic Circuits Labs,90
DMIN,Data Mining,120
OPRES,Operations Research,120
STOCH,Stochastic Modelling and Simulation,120
SE,Software Engineering,120
NET,Networks and Protocols,120
MOBDEV,Mobile Development,120
ENTR,Entrepreneurship and Innovation,60
ML,Machine Learning,120
NUMOPT,Numerical Methods and Optimisation,120
TSAC,Time Series Analysis and Classification,120
ADVDB,Advanced Databases,120
SEC,Computer and network Security,120
PM,Project Management,60
NLP,Natural Language Processing,120
DL,Deep Learning,120
HCI,Human Computer Interaction,120
WNET,Wireless Communication Networks and Systems,120
ROBOT,Introduction to Mobile Robotics,120
ETHICS,AI and Ethics,60
TOPICS,Selected topics in AI/Technology,120
CV,Computer Vision,120
BDAV,Big Data Analytics & Visualization,120
RL,Reinforcement Learning,120
SPEECH,Speech Processing,120
HPC,High Performance Computing,120
ENTCOMP,Enterprise Computing,120
ACR,Academic Communication and Research,60
