student,exam
2025310001,OOP
2025310001,LINUX
2025310001,LINALG
2025310001,MANAL1
2025310001,STAT
2025310001,ENG2
2025310002,OOP
2025310002,LINUX
2025310002,LINALG
2025310002,MANAL1
2025310002,STAT
2025310002,ENG2
2025310003,OOP
2025310003,LINUX
2025310003,LINALG
2025310003,MANAL1
2025310003,STAT
2025310003,ENG2
2025310004,OOP
2025310004,LINUX
2025310004,LINALG
2025310004,MANAL1
2025310004,STAT
2025310004,ENG2
2025310005,OOP
2025310005,LINUX
2025310005,LINALG
2025310005,MANAL1
2025310005,STAT
2025310005,ENG2
2025310006,OOP
2025310006,LINUX
2025310006,LINALG
2025310006,MANAL1
2025310006,STAT
2025310006,ENG2
2025310007,OOP
2025310007,LINUX
2025310007,LINALG
2025310007,MANAL1
2025310007,STAT
2025310007,ENG2
2025310008,OOP
2025310008,LINUX
2025310008,LINALG
2025310008,MANAL1
2025310008,STAT
2025310008,ENG2
2025310009,OOP
2025310009,LINUX
2025310009,LINALG
2025310009,MANAL1
2025310009,STAT
2025310009,ENG2
2025310010,OOP
2025310010,LINUX
2025310010,LINALG
2025310010,MANAL1
2025310010,STAT
2025310010,ENG2
2025310011,OOP
2025310011,LINUX
2025310011,LINALG
2025310011,MANAL1
2025310011,STAT
2025310011,ENG2
2025310012,OOP
2025310012,LINUX
2025310012,LINALG
2025310012,MANAL1
2025310012,STAT
2025310012,ENG2
2025310013,OOP
2025310013,LINUX
2025310013,LINALG
2025310013,MANAL1
2025310013,STAT
2025310013,ENG2
2025310014,OOP
2025310014,LINUX
2025310014,LINALG
2025310014,MANAL1
2025310014,STAT
2025310014,ENG2
2025310015,OOP
2025310015,LINUX
2025310015,LINALG
2025310015,MANAL1
2025310015,STAT
2025310015,ENG2
2025310016,OOP
2025310016,LINUX
2025310016,LINALG
2025310016,MANAL1
2025310016,STAT
2025310016,ENG2
2025310017,OOP
2025310017,LINUX
2025310017,LINALG
2025310017,MANAL1
2025310017,STAT
2025310017,ENG2
2025310018,OOP
2025310018,LINUX
2025310018,LINALG
2025310018,MANAL1
2025310018,STAT
2025310018,ENG2
2025310019,OOP
2025310019,LINUX
2025310019,LINALG
2025310019,MANAL1
2025310019,STAT
2025310019,ENG2
2025310020,OOP
2025310020,LINUX
2025310020,LINALG
2025310020,MANAL1
2025310020,STAT
2025310020,ENG2
2025310021,OOP
2025310021,LINUX
2025310021,LINALG
2025310021,MANAL1
2025310021,STAT
2025310021,ENG2
2025310022,OOP
2025310022,LINUX
2025310022,LINALG
2025310022,MANAL1
2025310022,STAT
2025310022,ENG2
2025310023,OOP
2025310023,LINUX
2025310023,LINALG
2025310023,MANAL1
2025310023,STAT
2025310023,ENG2
2025310024,OOP
2025310024,LINUX
2025310024,LINALG
2025310024,MANAL1
2025310024,STAT
2025310024,ENG2
2025310025,OOP
2025310025,LINUX
2025310025,LINALG
2025310025,MANAL1
2025310025,STAT
2025310025,ENG2
2025310026,OOP
2025310026,LINUX
2025310026,LINALG
2025310026,MANAL1
2025310026,STAT
2025310026,ENG2
2025310027,OOP
2025310027,LINUX
2025310027,LINALG
2025310027,MANAL1
2025310027,STAT
2025310027,ENG2
2025310028,OOP
2025310028,LINUX
2025310028,LINALG
2025310028,MANAL1
2025310028,STAT
2025310028,ENG2
2025310029,OOP
2025310029,LINUX
2025310029,LINALG
2025310029,MANAL1
2025310029,STAT
2025310029,ENG2
2025310030,OOP
2025310030,LINUX
2025310030,LINALG
2025310030,MANAL1
2025310030,STAT
2025310030,ENG2
2025310031,OOP
2025310031,LINUX
2025310031,LINALG
2025310031,MANAL1
2025310031,STAT
2025310031,ENG2
2025310032,OOP
2025310032,LINUX
2025310032,LINALG
2025310032,MANAL1
2025310032,STAT
2025310032,ENG2
2025310033,OOP
2025310033,LINUX
2025310033,LINALG
2025310033,MANAL1
2025310033,STAT
2025310033,ENG2
2025310034,OOP
2025310034,LINUX
2025310034,LINALG
2025310034,MANAL1
2025310034,STAT
2025310034,ENG2
2025310035,OOP
2025310035,LINUX
2025310035,LINALG
2025310035,MANAL1
2025310035,STAT
2025310035,ENG2
2025310036,OOP
2025310036,LINUX
2025310036,LINALG
2025310036,MANAL1
2025310036,STAT
2025310036,ENG2
2025310037,OOP
2025310037,LINUX
2025310037,LINALG
2025310037,MANAL1
2025310037,STAT
2025310037,ENG2
2025310038,OOP
2025310038,LINUX
2025310038,LINALG
2025310038,MANAL1
2025310038,STAT
2025310038,ENG2
2025310039,OOP
2025310039,LINUX
2025310039,LINALG
2025310039,MANAL1
2025310039,STAT
2025310039,ENG2
2025310040,OOP
2025310040,LINUX
2025310040,LINALG
2025310040,MANAL1
2025310040,STAT
2025310040,ENG2
2025310041,OOP
2025310041,LINUX
2025310041,LINALG
2025310041,MANAL1
2025310041,STAT
2025310041,ENG2
2025310042,OOP
2025310042,LINUX
2025310042,LINALG
2025310042,MANAL1
2025310042,STAT
2025310042,ENG2
2025310043,OOP
2025310043,LINUX
2025310043,LINALG
2025310043,MANAL1
2025310043,STAT
2025310043,ENG2
2025310044,OOP
2025310044,LINUX
2025310044,LINALG
2025310044,MANAL1
2025310044,STAT
2025310044,ENG2
2025310045,OOP
2025310045,LINUX
2025310045,LINALG
2025310045,MANAL1
2025310045,STAT
2025310045,ENG2
2025310046,OOP
2025310046,LINUX
2025310046,LINALG
2025310046,MANAL1
2025310046,STAT
2025310046,ENG2
2025310047,OOP
2025310047,LINUX
2025310047,LINALG
2025310047,MANAL1
2025310047,STAT
2025310047,ENG2
2025310048,OOP
2025310048,LINUX
2025310048,LINALG
2025310048,MANAL1
2025310048,STAT
2025310048,ENG2
2025310049,OOP
2025310049,LINUX
2025310049,LINALG
2025310049,MANAL1
2025310049,STAT
2025310049,ENG2
2025310050,OOP
2025310050,LINUX
2025310050,LINALG
2025310050,MANAL1
2025310050,STAT
2025310050,ENG2
2025310051,OOP
2025310051,LINUX
2025310051,LINALG
2025310051,MANAL1
2025310051,STAT
2025310051,ENG2
2025310052,OOP
2025310052,LINUX
2025310052,LINALG
2025310052,MANAL1
2025310052,STAT
2025310052,ENG2
2025310053,OOP
2025310053,LINUX
2025310053,LINALG
2025310053,MANAL1
2025310053,STAT
2025310053,ENG2
2025310054,OOP
2025310054,LINUX
2025310054,LINALG
2025310054,MANAL1
2025310054,STAT
2025310054,ENG2
2025310055,OOP
2025310055,LINUX
2025310055,LINALG
2025310055,MANAL1
2025310055,STAT
2025310055,ENG2
2025310056,OOP
2025310056,LINUX
2025310056,LINALG
2025310056,MANAL1
2025310056,STAT
2025310056,ENG2
2025310057,OOP
2025310057,LINUX
2025310057,LINALG
2025310057,MANAL1
2025310057,STAT
2025310057,ENG2
2025310058,OOP
2025310058,LINUX
2025310058,LINALG
2025310058,MANAL1
2025310058,STAT
2025310058,ENG2
2025310059,OOP
2025310059,LINUX
2025310059,LINALG
2025310059,MANAL1
2025310059,STAT
2025310059,ENG2
2025310060,OOP
2025310060,LINUX
2025310060,LINALG
2025310060,MANAL1
2025310060,STAT
2025310060,ENG2
2025310061,OOP
2025310061,LINUX
2025310061,LINALG
2025310061,MANAL1
2025310061,STAT
2025310061,ENG2
2025310062,OOP
2025310062,LINUX
2025310062,LINALG
2025310062,MANAL1
2025310062,STAT
2025310062,ENG2
2025310063,OOP
2025310063,LINUX
2025310063,LINALG
2025310063,MANAL1
2025310063,STAT
2025310063,ENG2
2025310064,OOP
2025310064,LINUX
2025310064,LINALG
2025310064,MANAL1
2025310064,STAT
2025310064,ENG2
2025310065,OOP
2025310065,LINUX
2025310065,LINALG
2025310065,MANAL1
2025310065,STAT
2025310065,ENG2
2025310066,OOP
2025310066,LINUX
2025310066,LINALG
2025310066,MANAL1
2025310066,STAT
2025310066,ENG2
2025310067,OOP
2025310067,LINUX
2025310067,LINALG
2025310067,MANAL1
2025310067,STAT
2025310067,ENG2
2025310068,OOP
2025310068,LINUX
2025310068,LINALG
2025310068,MANAL1
2025310068,STAT
2025310068,ENG2
2025310069,OOP
2025310069,LINUX
2025310069,LINALG
2025310069,MANAL1
2025310069,STAT
2025310069,ENG2
2025310070,OOP
2025310070,LINUX
2025310070,LINALG
2025310070,MANAL1
2025310070,STAT
2025310070,ENG2
2025310071,OOP
2025310071,LINUX
2025310071,LINALG
2025310071,MANAL1
2025310071,STAT
2025310071,ENG2
2025310072,OOP
2025310072,LINUX
2025310072,LINALG
2025310072,MANAL1
2025310072,STAT
2025310072,ENG2
2025310073,OOP
2025310073,LINUX
2025310073,LINALG
2025310073,MANAL1
2025310073,STAT
2025310073,ENG2
2025310074,OOP
2025310074,LINUX
2025310074,LINALG
2025310074,MANAL1
2025310074,STAT
2025310074,ENG2
2025310075,OOP
2025310075,LINUX
2025310075,LINALG
2025310075,MANAL1
2025310075,STAT
2025310075,ENG2
2025310076,OOP
2025310076,LINUX
2025310076,LINALG
2025310076,MANAL1
2025310076,STAT
2025310076,ENG2
2025310077,OOP
2025310077,LINUX
2025310077,LINALG
2025310077,MANAL1
2025310077,STAT
2025310077,ENG2
2025310078,OOP
2025310078,LINUX
2025310078,LINALG
2025310078,MANAL1
2025310078,STAT
2025310078,ENG2
2025310079,OOP
2025310079,LINUX
2025310079,LINALG
2025310079,MANAL1
2025310079,STAT
2025310079,ENG2
2025310080,OOP
2025310080,LINUX
2025310080,LINALG
2025310080,MANAL1
2025310080,STAT
2025310080,ENG2
2025310081,OOP
2025310081,LINUX
2025310081,LINALG
2025310081,MANAL1
2025310081,STAT
2025310081,ENG2
2025310082,OOP
2025310082,LINUX
2025310082,LINALG
2025310082,MANAL1
2025310082,STAT
2025310082,ENG2
2025310083,OOP
2025310083,LINUX
2025310083,LINALG
2025310083,MANAL1
2025310083,STAT
2025310083,ENG2
2025310084,OOP
2025310084,LINUX
2025310084,LINALG
2025310084,MANAL1
2025310084,STAT
2025310084,ENG2
2025310085,OOP
2025310085,LINUX
2025310085,LINALG
2025310085,MANAL1
2025310085,STAT
2025310085,ENG2
2025310086,OOP
2025310086,LINUX
2025310086,LINALG
2025310086,MANAL1
2025310086,STAT
2025310086,ENG2
2025310087,OOP
2025310087,LINUX
2025310087,LINALG
2025310087,MANAL1
2025310087,STAT
2025310087,ENG2
2025310088,OOP
2025310088,LINUX
2025310088,LINALG
2025310088,MANAL1
2025310088,STAT
2025310088,ENG2
2025310089,OOP
2025310089,LINUX
2025310089,LINALG
2025310089,MANAL1
2025310089,STAT
2025310089,ENG2
2025310090,OOP
2025310090,LINUX
2025310090,LINALG
2025310090,MANAL1
2025310090,STAT
2025310090,ENG2
2025310091,OOP
2025310091,LINUX
2025310091,LINALG
2025310091,MANAL1
2025310091,STAT
2025310091,ENG2
2025310092,OOP
2025310092,LINUX
2025310092,LINALG
2025310092,MANAL1
2025310092,STAT
2025310092,ENG2
2025310093,OOP
2025310093,LINUX
2025310093,LINALG
2025310093,MANAL1
2025310093,STAT
2025310093,ENG2
2025310094,OOP
2025310094,LINUX
2025310094,LINALG
2025310094,MANAL1
2025310094,STAT
2025310094,ENG2
