code,name,duration
OOP,Object Oriented Programming,120
LINUX,Introduction to Linux,90
LINALG,Linear Algebra,120
MANAL1,Mathematical Analysis 1,120
STAT,Introduction to Statistics,90
ENG2,English 2,90
TOC,Theory of Computing,120
OS,Operating Systems,120
ARCH,Computer Architecture,120
SINF,Statistical Inference,120
INTAI,Introduction to AI,120
MANAL3,Mathematical Analysis 3,120
CIRC,Electronic Circuits Labs,90
ML,Machine Learning,120
NUMOPT,Numerical Methods and Optimisation,120
TSAC,Time Series Analysis and Classification,120
ADVDB,Advanced Databases,120
SEC,Computer and network Security,120
PM,Project Management,60
CV,Computer Vision,120
BDAV,Big Data Analytics & Visualization,120
RL,Reinforcement Learning,120
SPEECH,Speech Processing,120
HPC,High Performance Computing,120
ENTCOMP,Enterprise Computing,120
ACR,Academic Communication and Research,60
